ENSEMBL_GENE_ID	GENE_NAME
ENSG00000166949	SMAD3
ENSG00000165806	CASP7
ENSG00000115211	EIF2B4
ENSG00000164327	RICTOR
ENSG00000116809	ZBTB17
ENSG00000129521	EGLN3
ENSG00000132155	RAF1
ENSG00000113504	SLC12A7
ENSG00000203852	HIST2H3A
ENSG00000185883	ATP6V0C
ENSG00000101109	STK4
ENSG00000100813	ACIN1
ENSG00000106366	SERPINE1
ENSG00000141510	TP53
ENSG00000137070	IL11RA
ENSG00000118046	STK11
ENSG00000112561	TFEB
ENSG00000026103	FAS
ENSG00000112062	MAPK14
ENSG00000233948	TRIM27
ENSG00000096968	JAK2
ENSG00000235396	NOTCH4
ENSG00000106070	GRB10
ENSG00000205250	E2F4
ENSG00000162552	WNT4
ENSG00000141646	SMAD4
ENSG00000102755	FLT1
ENSG00000204713	TRIM27
ENSG00000139687	RB1
ENSG00000197122	SRC
ENSG00000122756	CNTFR
ENSG00000171608	PIK3CD
ENSG00000133101	CCNA1
ENSG00000152256	PDK1
ENSG00000123496	IL13RA2
ENSG00000148400	NOTCH1
ENSG00000160293	VAV2
ENSG00000198223	CSF2RA
ENSG00000125798	FOXA2
ENSG00000137275	RIPK1
ENSG00000153094	BCL2L11
ENSG00000096717	SIRT1
ENSG00000221823	PPP3R1
ENSG00000146648	EGFR
ENSG00000067900	ROCK1
ENSG00000100889	PCK2
ENSG00000142867	BCL10
ENSG00000071054	MAP4K4
ENSG00000060237	WNK1
ENSG00000085721	RRN3
ENSG00000234495	TRIM27
ENSG00000106615	RHEB
ENSG00000155876	RRAGA
ENSG00000100644	HIF1A
ENSG00000130222	GADD45G
ENSG00000166483	WEE1
ENSG00000124762	CDKN1A
ENSG00000081985	IL12RB2
ENSG00000116717	GADD45A
ENSG00000277641	WNT3
ENSG00000187266	EPOR
ENSG00000131724	IL13RA1
ENSG00000164305	CASP3
ENSG00000130766	SESN2
ENSG00000170558	CDH2
ENSG00000168283	BMI1
ENSG00000119718	EIF2B2
ENSG00000198793	MTOR
ENSG00000169554	ZEB2
ENSG00000177283	FZD8
ENSG00000068078	FGFR3
ENSG00000145386	CCNA2
ENSG00000051180	RAD51
ENSG00000080824	HSP90AA1
ENSG00000087088	BAX
ENSG00000109270	LAMTOR3
ENSG00000148606	POLR3A
ENSG00000131759	RARA
ENSG00000145623	OSMR
ENSG00000123374	CDK2
ENSG00000169047	IRS1
ENSG00000134248	LAMTOR5
ENSG00000262795	IFNGR2
ENSG00000168209	DDIT4
ENSG00000184574	LPAR5
ENSG00000174775	HRAS
ENSG00000131196	NFATC1
ENSG00000091181	IL5RA
ENSG00000145191	EIF2B5
ENSG00000198373	WWP2
ENSG00000090020	SLC9A1
ENSG00000140443	IGF1R
ENSG00000281877	RPS6KA1
ENSG00000282899	E2F2
